,,,MÔ TẢ SẢN PHẨM,,,,,,,THÔNG TIN ĐẶT HÀNG,,,,,,THÔNG TIN NHẬP KHO,,,TRẠNG THÁI GIAO HÀNG,,,THEO DÕI TIẾN ĐỘ SẢN XUẤT,,,,,,,
STT,PHÂN LOẠI ĐH,PHÂN CẤP SP,TÊN SẢN PHẨM,HÌNH ẢNH,ART/ MÃ SP,MÀU,MÃ ĐƠN ĐẶT HÀNG,ĐƠN GIÁ,TỔNG GIÁ TRỊ,SL ĐẶT HÀNG (pcs),NHÀ MÁY,TIME LINE NHẬP KHO,TUẦN,TG GH/ KIỂM FINAL,NGÀY NHẬP KHO DỰ KIẾN,NGÀY GIAO THỰC TẾ,SL NHẬP KHO/ Thực tế,% TIẾN ĐỘ NHẬP HÀNG,TRẠNG THÁI GIAO HÀNG,TRẠNG THÁI ĐƠN HÀNG,GHI CHÚ ĐƠN HÀNG,Duyệt vải,Duyệt Bo,Trạng thái đồng bộ SX,Ngày lên chuyền,Ngày dự kiến hoàn tất,KQ FINAL,VẤN ĐỀ,Tuần
54,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,ĐEN,54_PO88_ĐEN,112.860,56.430.000,500,TLN,Tháng 4,Tuần 3,14/04/2026,15/04/2026,14/04/2026,522,104%,Đúng hạn,Hoàn thành,,,,,,,,,
55,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,KEM NHẠT,55_PO88_KEM NHẠT,112.860,90.288.000,800,TLN,Tháng 4,Tuần 3,16/04/2026,17/04/2026,16/04/2026,798,100%,Đúng hạn,Hoàn thành,,,,,,,,,
56,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,NAVY,56_PO88_NAVY,112.860,90.288.000,800,TLN,Tháng 4,Tuần 4,22/04/2026,23/04/2026,22/04/2026,796,100%,Đúng hạn,Hoàn thành,,,,,,,,,
57,NEW IN,NEWIN,JAY,,PO201,TRẮNG,57_PO201_TRẮNG,121.284,97.027.200,800,TLN,Tháng 4,Tuần 1,01/04/2026,02/04/2026,01/04/2026,803,100%,Đúng hạn,Hoàn thành,,,,,,,,,
58,NEW IN,NEWIN,JAY,,PO201,NAVY,58_PO201_NAVY,121.284,97.027.200,800,TLN,Tháng 4,Tuần 1,01/04/2026,02/04/2026,02/04/2026,797,100%,Đúng hạn,Hoàn thành,,,,,,,,,
59,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,CAFE,59_PO88_CAFE,112.860,90.288.000,800,TLN,Tháng 3,Tuần 2,09/03/2026,10/03/2026,09/03/2026,796,100%,Đúng hạn,Hoàn thành,,,,,,,,,
60,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,ĐEN,60_PO88_ĐEN,112.860,169.290.000,1.500,TLN,Tháng 3,Tuần 2,10/03/2026,11/03/2026,10/03/2026,1500,100%,Đúng hạn,Hoàn thành,,,,,,,,,
61,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,NAVY,61_PO88_NAVY,112.860,45.144.000,400,TLN,Tháng 3,Tuần 2,09/03/2026,10/03/2026,09/03/2026,407,102%,Đúng hạn,Hoàn thành,,,,,,,,,
62,RESTOCK,CHỦ LỰC,CLASSIC,,PO119,ĐEN,62_PO119_ĐEN,124.200,74.520.000,600,AT,Tháng 3,Tuần 3,17/03/2026,18/03/2026,17/03/2026,575,96%,Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
63,RESTOCK,CHỦ LỰC,BASIC DIAMOND,,PO166,NAVY,63_PO166_NAVY,127.440,101.952.000,800,AT,Tháng 3,Tuần 1,04/03/2026,05/03/2026,04/03/2026,815,102%,Đúng hạn,Hoàn thành,,,,,,,,,
