 ,,TỔNG QUAN KHSX Q2,,,,,,,,SP RESTOCK,SP NEW IN,THÁNG,CHỦ LỰC,DUY TRÌ,NEWIN,PHỄU,"TỔNG SL 
(KẾ HOẠCH)",SL NHẬP KHO (THỰC TẾ),"SL CHƯA GIAO
(KẾ HOẠCH)","TIẾN ĐỘ
NHẬP KHO","TỔNG PO
(THEO MÃ MÀU)","PO TRỄ HẠN
(THEO MÃ MÀU)",TỈ LỆ GIAO HÀNG ĐÚNG TIẾN ĐỘ,PO ĐÚNG HẠN,TỔNG PO ĐANG SẢN XUẤT,TỔNG PO HOÀN THÀNH,On - time Rate NI,On - time Rate Core,
219,RESTOCK,CHỦ LỰC,JEAN STRAIGHT,,PO216,ĐEN,219_PO216_ĐEN,194.400,116.640.000,600,LC,Tháng 7,Tuần 3,14/07/2026,15/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
220,RESTOCK,CHỦ LỰC,JEAN STRAIGHT,,PO216,XANH ĐẬM,220_PO216_XANH ĐẬM,194.400,116.640.000,600,LC,Tháng 7,Tuần 3,14/07/2026,15/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
221,RESTOCK,CHỦ LỰC,JEAN STRAIGHT,,PO216,XANH NHẠT,221_PO216_XANH NHẠT,194.400,116.640.000,600,LC,Tháng 7,Tuần 1,03/07/2026,04/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
222,NEW IN,NEWIN,JEAN STRAIGHT,,PO216,INDIGO,222_PO216_INDIGO,194.400,155.520.000,800,LC,Tháng 7,Tuần 1,03/07/2026,04/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
223,RESTOCK,CHỦ LỰC,SHORT KAKI,,PO99,ĐEN,223_PO99_ĐEN,123.120,98.496.000,800,LC,Tháng 7,Tuần 3,16/07/2026,17/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
224,RESTOCK,CHỦ LỰC,SHORT KAKI,,PO99,BE ĐẬM,224_PO99_BE ĐẬM,123.120,73.872.000,600,LC,Tháng 7,Tuần 3,16/07/2026,17/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
225,RESTOCK,CHỦ LỰC,SHORT KAKI,,PO99,BE,225_PO99_BE,112.000,76.160.000,680,LC,Tháng 7,Tuần 4,21/07/2026,22/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
226,RESTOCK,CHỦ LỰC,KAKI SD,,PO126,ĐEN,226_PO126_ĐEN,136.080,68.040.000,500,LC,Tháng 7,Tuần 4,21/07/2026,22/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
227,RESTOCK,CHỦ LỰC,KAKI SD,,PO126,BE,227_PO126_BE,136.080,68.040.000,500,LC,Tháng 7,Tuần 4,21/07/2026,22/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
229,RESTOCK,DUY TRÌ,TRAVIS,,PO98,NAVY,229_PO98_NAVY,124.524,99.619.200,800,TLN,Tháng 6,Tuần 3,19/06/2026,20/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
235,NEW IN,NEWIN,Sơ mi TAY NGẮN  POPLIN,,PO308,ĐEN ,235_PO308_ĐEN ,133.380,80.028.000,600,GLX,Tháng 7,Tuần 1,02/07/2026,03/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
236,NEW IN,NEWIN,Sơ mi TAY NGẮN  POPLIN,,PO308,CAFE,236_PO308_CAFE,133.380,80.028.000,600,GLX,Tháng 7,Tuần 1,02/07/2026,03/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
237,RESTOCK,DUY TRÌ,MAVEN,,PO230,NAVY,237_PO230_NAVY,135.000,108.000.000,800,TLN,Tháng 6,Tuần 4,23/06/2026,24/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
238,RESTOCK,DUY TRÌ,IRISH PMD35 ,,PO260,KEM,238_PO260_KEM,135.000,108.000.000,800,TLN,Tháng 7,Tuần 2,09/07/2026,10/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
239,RESTOCK,DUY TRÌ,IRISH PMD35 ,,PO260,KEM,239_PO260_KEM,139.320,34.830.000,250,AT,Tháng 5,Tuần 1,07/05/2026,08/05/2026,07/05/2026,246,"98,40%",Đúng hạn,Hoàn thành,,,,,,,,,
240,RESTOCK,CHỦ LỰC,ZYBER,,PO210,ĐEN,240_PO210_ĐEN,135.000,94.500.000,700,AT,Tháng 6,Tuần 3,19/06/2026,20/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
243,RESTOCK,PHỄU,VỚ LOGO,,VO5,TRẮNG,243_VO5_TRẮNG,11.000,22.000.000,2.000,HN KNIT,Tháng 5,Tuần 4,27/05/2026,28/05/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
244,RESTOCK,PHỄU,VỚ LOGO,,VO5,ĐEN,244_VO5_ĐEN,11.000,22.000.000,2.000,HN KNIT,Tháng 5,Tuần 4,27/05/2026,28/05/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
245,RESTOCK,PHỄU,VỚ LOGO,,VO5,TRẮNG,245_VO5_TRẮNG,11.000,22.000.000,2.000,HN KNIT,Tháng 6,Tuần 5,29/06/2026,30/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
246,RESTOCK,PHỄU,VỚ LOGO,,VO5,ĐEN,246_VO5_ĐEN,11.000,22.000.000,2.000,HN KNIT,Tháng 6,Tuần 5,29/06/2026,30/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
247,RESTOCK,PHỄU,VỚ LOGO,,VO5,TRẮNG,247_VO5_TRẮNG,11.000,22.000.000,2.000,HN KNIT,Tháng 7,Tuần 5,29/07/2026,30/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
248,RESTOCK,PHỄU,VỚ LOGO,,VO5,ĐEN,248_VO5_ĐEN,11.000,22.000.000,2.000,HN KNIT,Tháng 7,Tuần 5,29/07/2026,30/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
250,NEW IN,PHỄU,TÚI GIẶT,,PO401,TRẮNG,250_PO401_TRẮNG,17.496,34.992.000,2.000,TLN,Tháng 5,Tuần 1,04/05/2026,05/05/2026,04/05/2026,1998,"99,90%",Đúng hạn,Hoàn thành,,,,,,,,,
251,RESTOCK,PHỄU,TÚI GIẶT,,PO401,TRẮNG,251_PO401_TRẮNG,17.496,34.992.000,2.000,TLN,Tháng 6,Tuần 1,04/06/2026,05/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
252,RESTOCK,PHỄU,TÚI GIẶT,,PO401,TRẮNG,252_PO401_TRẮNG,17.496,34.992.000,2.000,TLN,Tháng 7,Tuần 2,08/07/2026,09/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
254,NEW IN,PHỄU,BOXER COTTON,,PO402,ĐEN,254_PO402_ĐEN,31.320,46.980.000,1.500,VH,Tháng 6,Tuần 1,03/06/2026,04/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
255,NEW IN,PHỄU,BOXER COTTON,,PO402,NAVY,255_PO402_NAVY,31.320,46.980.000,1.500,VH,Tháng 6,Tuần 1,03/06/2026,04/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
260,NEW IN,DUY TRÌ,RICHIE,,PO403,TRẮNG KEM,260_PO403_TRẮNG KEM,142.344,85.406.400,600,TLN,Tháng 7,Tuần 1,02/07/2026,03/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
261,NEW IN,DUY TRÌ,RICHIE,,PO403,TRẮNG KEM,261_PO403_TRẮNG KEM,142.344,85.406.400,600,TLN,Tháng 7,Tuần 1,02/07/2026,03/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
262,RESTOCK,DUY TRÌ,TSHIRT BASIC US,,PO217,TRẮNG,262_PO217_TRẮNG,86.400,69.120.000,800,KP,Tháng 6,Tuần 1,03/06/2026,04/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
263,RESTOCK,DUY TRÌ,TSHIRT BASIC US,,PO217,ĐEN,263_PO217_ĐEN,86.400,69.120.000,800,KP,Tháng 6,Tuần 1,03/06/2026,04/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
265,RESTOCK,DUY TRÌ,TSHIRT BASIC US,,PO217,BE ĐẬM,265_PO217_BE ĐẬM,86.400,69.120.000,800,KP,Tháng 6,Tuần 1,03/06/2026,04/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
270,NEW IN,DUY TRÌ,TANKTOP BASIC,,PO404,TRẮNG,270_PO404_TRẮNG,24.000,24.000.000,1.000,VH,Tháng 6,Tuần 1,05/06/2026,06/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
271,NEW IN,DUY TRÌ,TANKTOP BASIC,,PO404,ĐEN,271_PO404_ĐEN,24.000,24.000.000,1.000,VH,Tháng 6,Tuần 1,05/06/2026,06/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
272,RESTOCK,DUY TRÌ,TANKTOP BASIC,,PO404,TRẮNG,272_PO404_TRẮNG,24.000,24.000.000,1.000,VH,Tháng 7,,,31/12/1899,,,,,,,,,,,,,,
273,RESTOCK,DUY TRÌ,TANKTOP BASIC,,PO404,ĐEN,273_PO404_ĐEN,24.000,24.000.000,1.000,VH,Tháng 7,,,31/12/1899,,,,,,,,,,,,,,
278,NEW IN,NEWIN,SHORTS TÂY,,PO405,ĐEN,278_PO405_ĐEN,129.600,103.680.000,800,LC,Tháng 6,Tuần 1,04/06/2026,05/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
279,NEW IN,NEWIN,SHORTS TÂY,,PO405,BE,279_PO405_BE,129.600,103.680.000,800,LC,Tháng 6,Tuần 1,04/06/2026,05/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
280,NEW IN,NEWIN,SHORTS TÂY,,PO405,TRẮNG KEM,280_PO405_TRẮNG KEM,129.600,103.680.000,800,LC,Tháng 6,Tuần 1,04/06/2026,05/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
281,RESTOCK,CHỦ LỰC,BASIC DIAMOND,,PO166,XANH KHÓI,281_PO166_XANH KHÓI,128.520,80.967.600,630,AT,Tháng 7,Tuần 2,10/06/2026,11/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
282,RESTOCK,CHỦ LỰC,BASIC DIAMOND,,PO166,XANH MINT,282_PO166_XANH MINT,128.520,80.967.600,630,AT,Tháng 7,Tuần 2,10/06/2026,11/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
283,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,HỒNG,283_PO88_HỒNG,111.780,78.246.000,700,TLN,Tháng 6,Tuần 2,12/06/2026,13/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
284,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,XÁM ĐẬM,284_PO88_XÁM ĐẬM,111.780,78.246.000,700,TLN,Tháng 6,Tuần 2,12/06/2026,13/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
285,RESTOCK,CHỦ LỰC,BASIC CLASSIC,,PO119,XÁM NHẠT,285_PO119_XÁM NHẠT,109.620,65.772.000,600,TLN,Tháng 7,Tuần 2,06/07/2026,07/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
286,RESTOCK,CHỦ LỰC,BASIC CLASSIC,,PO119,NAVY KEM,286_PO119_NAVY KEM,112.860,67.716.000,600,TLN,Tháng 7,Tuần 3,16/07/2026,17/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
